# x_path held_b1_THz held_b2_THz held_b3_THz
6.3468414994 -0.0000003936 -0.0000003581 -0.0000002514
6.3847870928 0.7926855908 0.7926855908 0.8073977453
6.4227326862 1.5832174054 1.5832174054 1.6127810056
6.4606782796 2.3694524685 2.3694524685 2.4141416895
6.4986238729 3.1492693736 3.1492693736 3.2094845086
6.5365694663 3.9205789857 3.9205789857 3.9968334204
6.5745150597 4.6813350464 4.6813350464 4.7742381193
6.6124606531 5.4295446465 5.4295446465 5.5397805898
6.6504062465 6.1632785341 6.1632785341 6.2915817353
6.6883518399 6.8806812232 6.8806812232 7.0278080929
6.7262974333 7.5799808675 7.5799808675 7.7466786438
6.7642430267 8.2594988631 8.2594988631 8.4464717252
6.8021886201 8.9176591440 8.9176591440 9.1255320481
6.8401342135 9.5529971287 9.5529971287 9.7822778220
6.8780798069 10.1641682796 10.1641682796 10.4152079849
6.9160254003 10.7499562295 10.7499562295 11.0229095335
6.9539709937 11.3092804289 11.3092804289 11.6040649460
6.9919165871 11.8412032637 11.8412032637 12.1574596855
7.0298621805 12.3449365891 12.3449365891 12.6819897698
7.0678077739 12.8198476174 12.8198476174 13.1766693877
7.1057533673 13.2654640943 13.2654640943 13.6406385415
7.1436989606 13.6814786901 13.6814786901 14.0731706862
7.1816445540 14.0677525218 14.0677525218 14.4736803355
7.2195901474 14.4243177147 14.4243177147 14.8417305966
7.2575357408 14.7513789020 14.7513789020 15.1770405897
7.2954813342 15.0493135452 15.0493135452 15.4794927000
7.3334269276 15.3186709528 15.3186709528 15.7491396014
7.3713725210 15.5601698560 15.5601698560 15.9862109758
7.4093181144 15.7746943930 15.7746943930 16.1911198399
7.4472637078 15.9632883424 15.9632883424 16.3644683705
7.4852093012 16.1271474394 16.1271474394 16.5070530946
7.5231548946 16.2676096079 16.2676096079 16.6198692837
7.5611004880 16.3861429465 16.3861429465 16.7041143527
7.5990460814 16.4843313217 16.4843313217 16.7611900241
7.6369916748 16.5638574506 16.5638574506 16.7927029644
7.6749372682 16.6264833983 16.6264833983 16.8004635442
7.7128828616 16.6740284757 16.6740284757 16.7864823104
7.7508284549 16.7083446081 16.7083446081 16.7529636904
7.7887740483 16.7022963860 16.7312893437 16.7312893437
7.8267196417 16.6370398596 16.7446967954 16.7446967954
7.8646652351 16.5599062828 16.7503469471 16.7503469471
7.9026108285 16.4737373187 16.7499339007 16.7499339007
7.9405564219 16.3814751671 16.7450337893 16.7450337893
7.9785020153 16.2861274327 16.7370732122 16.7370732122
8.0164476087 16.1907255998 16.7272991575 16.7272991575
8.0543932021 16.0982772310 16.7167514369 16.7167514369
8.0923387955 16.0117124539 16.7062386719 16.7062386719
8.1302843889 15.9338258459 16.6963188081 16.6963188081
8.1682299823 15.8672154377 16.6872850162 16.6872850162
8.2061755757 15.8142211706 16.6791576471 16.6791576471
8.2441211691 15.7768656698 16.6716826722 16.6716826722
8.2820667625 15.7568005477 16.6643367647 16.6643367647
8.3200123559 15.7552615262 16.6563388999 16.6563388999
8.3579579493 15.7730354045 16.6466680824 16.6466680824
8.3959035426 15.8104412867 16.6340865790 16.6340865790
8.4338491360 15.8673275668 16.6171678638 16.6171678638
8.4717947294 15.9430850555 16.5943283706 16.5943283706
8.5097403228 16.0366754754 16.5638621102 16.5638621102
8.5476859162 16.1466735018 16.5239772358 16.5239772358
8.5856315096 16.2713197269 16.4728337221 16.4728337221
8.6235771030 16.4085814467 16.4085814467 16.4085814467
8.6615226964 16.3293981212 16.3293981212 16.5562180447
8.6994682898 16.2335266881 16.2335266881 16.7118479315
8.7374138832 16.1193119818 16.1193119818 16.8730144079
8.7753594766 15.9852366298 15.9852366298 17.0372483753
8.8133050700 15.8299563456 15.8299563456 17.2021264044
8.8512506634 15.6523349396 15.6523349396 17.3653232380
8.8891962568 15.4514795414 15.4514795414 17.5246582779
8.9271418502 15.2267767011 15.2267767011 17.6781359796
8.9650874436 14.9779302189 14.9779302189 17.8239803342
