step,time_ps,temperature_K,pressure_GPa,scf_iterations,final_accuracy_Ry,Mx_Bohr_cell,My_Bohr_cell,Mz_Bohr_cell,M_magnitude_Bohr_cell,mean_local_moment_Bohr_Fe,total_force_Ry_Bohr,scf_force_correction_Ry_Bohr,scf_force_correction_ratio,rms_displacement_A,max_displacement_A,minimum_Fe_Fe_distance_A
11,0.010999634586718994,5467.49221731,371.71799999999996,33,0.0023498,0.01,0.01,-0.0,0.01414213562373095,0.10827273281495857,2.093603,0.193537,0.09244207235087072,0.14776925858845721,0.29326983107901217,1.6861797532199565
12,0.011999601367329811,6003.47452467,368.94899999999996,9,0.00319146,0.02,0.03,-0.0,0.03605551275463989,0.10840406390596535,2.007231,0.380884,0.1897559374083003,0.16193331657194712,0.3180950491837612,1.68913298638074
13,0.01299956814794063,6111.81236461,368.418,21,0.00391437,0.03,0.04,-0.0,0.05,0.10827865120240587,2.014597,0.349829,0.17364713637516582,0.17612175177140768,0.34176833241224924,1.6875055889234574
14,0.013999534928551447,6308.33368165,366.567,14,0.00310867,0.03,-0.01,-0.02,0.03741657386773942,0.10928971674443827,1.969621,0.508037,0.2579364253325893,0.19031139476166065,0.3642019711798986,1.673563956699701
15,0.014999501709162266,5958.82667939,364.184,13,0.00204653,0.04,0.05,-0.0,0.06403124237432849,0.10812170467346353,2.014842,0.36842,0.1828530475342484,0.2039740735653515,0.38459510306799527,1.663796168475024
16,0.015999468489773083,6143.53081713,365.85,13,0.00392235,0.04,0.02,-0.01,0.0458257569495584,0.1085416869951197,1.964296,0.473876,0.24124470039138704,0.2175634106502144,0.403683505404334,1.657781355083859
17,0.0169994352703839,6342.75926533,366.175,33,0.00326761,0.04,0.04,-0.0,0.0565685424949238,0.10822643623248984,1.956077,0.337262,0.17241754797996192,0.23114631300392155,0.42156051283176066,1.6555011734354836
18,0.017999402050994717,6193.8306699,359.303,14,0.00307491,0.04,0.01,-0.01,0.042426406871192854,0.10858108303776519,1.947451,0.554344,0.2846510643913505,0.24430465665554052,0.43771983904840545,1.6569218969505186
19,0.018999368831605537,6566.69139255,360.598,14,0.00226289,0.04,0.03,0.0,0.05,0.1082173734979075,1.979223,0.384573,0.19430503788607953,0.25770501788881056,0.46192982060072,1.6614289574112662
20,0.019999335612216354,6441.014941,358.982,14,0.00390363,0.04,0.01,-0.01,0.042426406871192854,0.10854161632785814,1.956223,0.694664,0.3551047094324113,0.2707306063680113,0.48773384644677775,1.6668773940783805
21,0.02099930239282717,6530.37422994,357.538,14,0.00327528,0.04,0.01,-0.0,0.04123105625617661,0.10829673010692549,1.947942,0.307968,0.1580991631167663,0.2836149731486523,0.5128938654893755,1.6759007023026389
22,0.021999269173437988,6327.14747139,354.632,8,0.00289499,0.04,0.02,0.0,0.044721359549995794,0.10821930920595263,1.896819,0.438267,0.23105367459942147,0.2959796335165982,0.5365999328052045,1.6881236550049716
23,0.022999235954048805,6261.01375527,354.12199999999996,13,0.00064043,0.03,0.0,0.01,0.03162277660168379,0.10813141723062823,1.929406,0.235499,0.1220577732213956,0.3081068099276198,0.5593428801430681,1.7035452719481856
24,0.023999202734659622,6614.81353823,351.992,8,0.00304701,0.04,0.02,0.01,0.0458257569495584,0.10810529674600673,1.859653,0.378722,0.2036519716312667,0.32023594333007155,0.5814924266997488,1.7221941556628015
25,0.024999169515270443,6172.70486293,352.025,9,0.0039903,0.03,0.02,0.01,0.03741657386773942,0.10808858262592712,1.844366,0.615173,0.333541715689836,0.3316915005342381,0.6017582195037112,1.7428291377460232
26,0.02599913629588126,6419.68518408,350.477,17,0.00353651,0.03,0.03,0.02,0.0469041575982343,0.10813837268780624,1.870977,0.670227,0.3582230032758286,0.3431874403192936,0.6213797657068549,1.7604725095542355
