run,scf_iteration,mixing_beta,energy_ry,estimated_scf_accuracy_ry,mx_muB_cell,my_muB_cell,mz_muB_cell,net_magnetization_muB_cell,absolute_magnetization_muB_cell,absolute_magnetization_muB_atom
try1,82,0.1,-42117.05756624,1.92782627,-0.79,-0.56,-5.69,5.771810807710176,45.88,0.3584375
try1,83,0.1,-42114.35740277,2.75320701,0.5,1.66,-0.73,1.8810901094843915,57.22,0.44703125
try1,84,0.1,-42106.30230804,13.56043706,2.82,3.49,4.26,6.187091400650227,102.7,0.80234375
try1,85,0.1,-42115.36326826,3.14541207,-2.55,-4.92,4.93,7.417128824551991,60.22,0.47046875
try1,86,0.1,-42114.32397661,3.04382112,2.02,-2.7,-2.3,4.081715325693353,52.53,0.410390625
try1,87,0.1,-42114.34581603,3.7322501,-6.62,0.64,5.64,8.720298160040171,57.52,0.449375
try1,88,0.1,-42116.36447835,1.28211683,1.67,-2.58,-0.01,3.073336948660202,35.05,0.273828125
try1,89,0.1,-42113.02519533,6.63722682,4.39,-4.37,5.93,8.575190959972844,77.79,0.607734375
try1,90,0.1,-42111.34112278,7.71978382,0.76,4.86,-14.52,15.33060990306648,80.66,0.63015625
try1,91,0.1,-42115.39961557,3.19286243,-4.98,-3.2,6.68,8.925401951733042,61.51,0.480546875
try1,92,0.1,-42114.4751513,3.97255198,3.44,1.57,-3.84,5.389257833876572,58.11,0.453984375
try1,93,0.1,-42113.7434667,5.31983086,-0.47,-3.7,18.2,18.578237268373982,72.63,0.567421875
try1,94,0.1,-42116.50592612,2.27946214,2.11,-1.8,5.33,6.0084107715767905,48.01,0.375078125
try1,95,0.1,-42115.70926313,1.3746465,-2.03,-2.81,0.05,3.4669150552039776,36.62,0.28609375
try1,96,0.1,-42114.38243939,12.18173792,0.91,1.45,-14.14,14.243251033384198,95.67,0.747421875
try1,97,0.1,-42116.63924649,8.37893695,2.06,4.61,-2.89,5.817886214081538,80.7,0.63046875
try1,98,0.1,-42111.9975639,7.54294222,-1.3,4.93,3.57,6.2241304613576345,82.12,0.6415625
try1,99,0.1,-42114.76724104,4.27161675,6.77,1.3,-5.07,8.557324348182673,64.11,0.500859375
try1,100,0.1,-42115.21438793,2.4065675,0.82,-0.93,1.47,1.9230704615276062,49.36,0.385625
try1,101,0.1,-42115.99060977,1.72012237,3.03,0.75,0.27,3.133097508856052,41.0,0.3203125
try1,102,0.1,-42116.81552643,2.57508529,1.46,-6.3,2.54,6.947891766572073,51.02,0.39859375
try1,103,0.1,-42116.21007634,2.63898625,-3.12,2.21,-2.22,4.421187623252377,54.95,0.429296875
try1,104,0.1,-42111.75197007,7.3206504,-1.28,2.31,-12.49,12.76615055527703,80.92,0.6321875
try1,105,0.1,-42114.5567091,5.24870445,-5.02,-2.95,4.78,7.533345870196058,72.08,0.563125
try1,106,0.1,-42115.30835954,1.18026536,2.84,-0.09,-1.87,3.4015584663503877,36.57,0.285703125
try1,107,0.1,-42113.65892037,7.24635755,-3.23,-3.9,21.4,21.990973148089648,81.96,0.6403125
try1,108,0.1,-42117.73332666,1.44544298,-4.13,-1.49,-0.6,4.431365478043985,41.88,0.3271875
try1,109,0.1,-42116.79797897,2.31533845,-0.5,-2.15,-0.03,2.2075778581966254,49.91,0.389921875
try1,110,0.1,-42115.07258054,2.80497383,-0.5,-2.12,-3.6,4.207659682056048,59.18,0.46234375
try1,111,0.1,-42116.3498193,1.60272943,0.44,0.2,3.18,3.216519858480591,42.15,0.329296875
try1,112,0.1,-42113.12057276,6.26204879,-1.74,2.16,3.85,4.745071126969543,73.66,0.57546875
try1,113,0.1,-42113.79875999,1.63870335,3.59,0.57,-3.14,4.803394632965316,46.9,0.36640625
try1,114,0.1,-42111.4056471,8.30202033,1.33,-0.75,5.82,6.016959364994915,84.35,0.658984375
try1,115,0.1,-42115.69595111,1.64113584,-3.67,-0.83,3.13,4.894353889942982,45.56,0.3559375
try2,1,0.01,-42243.31249982,36575.76908373,0.54,-0.43,0.32,0.7608547824650904,2558.44,19.9878125
try2,2,0.01,-41944.33128632,24581.19444742,-0.34,0.0,-0.37,0.5024937810560445,2073.92,16.2025
try2,3,0.01,-42128.1377476,1329.76271466,0.27,-1.25,-0.73,1.4725148556126693,548.51,4.285234375
try2,4,0.01,-42119.86039532,726.46459322,0.43,-1.16,-0.71,1.4263940549511556,452.32,3.53375
try2,5,0.01,-42113.31235233,322.00590825,0.58,-1.48,-0.99,1.8726718879718358,316.37,2.471640625
try2,6,0.01,-42111.54786992,142.00329848,0.75,-1.61,-0.86,1.9733727473541334,233.96,1.8278125
try2,7,0.01,-42109.99808,73.87995855,0.66,-1.67,-0.24,1.8116567003712376,181.51,1.418046875
try2,8,0.01,-42109.04184029,43.83493128,0.49,-1.75,0.34,1.8488374725756724,147.7,1.15390625
try2,9,0.01,-42108.11373413,29.37086772,0.38,-1.6,0.96,1.9042058712229621,123.16,0.9621875
try2,10,0.01,-42107.98042126,21.85949972,0.34,-1.55,1.15,1.959744881355734,104.24,0.814375
try2,11,0.01,-42108.52467589,18.20113431,0.36,-1.18,1.05,1.6200308639035246,90.48,0.706875
try2,12,0.01,-42109.77928108,15.35495747,0.39,-0.74,0.75,1.1234767465328332,81.73,0.638515625
try2,13,0.01,-42111.2266233,12.05449428,0.28,-0.52,0.5,0.7738216848861241,75.8,0.5921875
try2,14,0.01,-42112.55912303,8.74977846,0.22,0.02,0.26,0.3411744421846396,74.02,0.57828125
try2,15,0.01,-42113.27351334,6.78951848,0.14,0.37,0.07,0.4017461885320133,73.33,0.572890625
try2,16,0.01,-42113.67062012,5.95980211,0.06,0.48,0.13,0.5008991914547277,73.13,0.571328125
try2,17,0.01,-42114.04250065,5.50678568,0.04,0.44,0.11,0.45530209751328843,72.35,0.565234375
try2,18,0.01,-42114.46612896,4.82141747,0.27,0.55,-0.12,0.6243396511515187,70.21,0.548515625
try2,19,0.01,-42115.01846955,3.71889049,0.83,0.58,-0.32,1.0619322012256713,66.78,0.52171875
try2,20,0.01,-42115.19861933,2.79212526,1.35,0.55,1.03,1.7849089612638511,62.88,0.49125
try2,21,0.01,-42114.44835341,2.58323886,1.47,0.59,-1.33,2.0683084876294444,61.31,0.478984375
try2,22,0.01,-42115.43861677,3.33437522,0.7,0.25,4.35,4.413048832723245,61.38,0.47953125
try2,23,0.01,-42112.38007481,2.60037437,0.44,0.29,3.16,3.203638556391779,59.53,0.465078125
try2,24,0.01,-42118.95128939,4.45533231,-0.22,0.33,-7.47,7.480521372203945,61.31,0.478984375
try2,25,0.01,-42118.10548141,3.64478833,-0.29,-0.49,-4.6,4.635105176800199,61.69,0.481953125
try2,26,0.01,-42122.52004757,5.03741616,0.78,0.71,-9.74,9.796943400877643,63.47,0.495859375
try2,27,0.01,-42120.82010627,4.74470657,-0.12,0.47,-8.56,8.573733142569811,62.37,0.487265625
try2,28,0.01,-42119.03629584,5.18078925,0.42,1.2,-10.78,10.854713261989005,64.58,0.50453125
try2,29,0.01,-42119.5498404,3.80632229,0.77,0.69,-4.57,4.685498906199851,60.21,0.470390625
try2,30,0.01,-42120.48811997,4.39539163,1.07,1.61,-9.3,9.498789396549435,60.29,0.471015625
try2,31,0.01,-42118.1396705,4.78619181,1.23,1.4,-12.21,12.351396682157045,61.62,0.48140625
try2,32,0.01,-42115.36535876,3.91009655,0.21,0.86,-6.55,6.609553691437872,60.06,0.46921875
try2,33,0.01,-42116.91512054,5.64104944,0.97,-0.62,-0.93,1.4799324308900053,59.96,0.4684375
try2,34,0.01,-42108.62989377,4.61504146,1.2,1.26,-4.7,5.0117462026722785,57.33,0.447890625
try2,35,0.01,-42124.17923458,6.76075441,1.68,-1.15,-2.97,3.600805465447974,60.55,0.473046875
try2,36,0.01,-42121.72785004,5.61300601,0.06,0.21,-7.51,7.513175094459066,60.5,0.47265625
try2,37,0.01,-42116.54300919,4.76843671,3.7,-1.08,-3.52,5.219846741045181,54.87,0.428671875
try2,38,0.01,-42118.90474531,5.68879865,-1.84,4.15,-17.6,18.17603091986807,60.08,0.469375
try2,39,0.01,-42117.45068174,4.51684654,-0.27,1.95,-12.43,12.584923519831179,55.45,0.433203125
try2,40,0.01,-42122.13391354,6.15757426,0.13,0.07,-7.91,7.911377882518316,57.52,0.449375
try2,41,0.01,-42123.09331363,6.59564074,0.78,-0.61,-7.34,7.4064903969424005,61.44,0.48
try2,42,0.01,-42124.79834332,6.544252,1.98,-1.29,-6.45,6.869279438194373,61.39,0.479609375
try2,43,0.01,-42123.61439884,6.79474258,-1.65,-0.2,-9.19,9.339089891418757,64.53,0.504140625
try2,44,0.01,-42123.54401641,6.26794669,-0.7,-1.29,-6.12,6.293528422117437,60.36,0.4715625
try2,45,0.01,-42118.03136675,7.75661537,1.81,-0.93,-0.8,2.1865497936246503,66.54,0.51984375
try2,46,0.01,-42114.27270898,6.23622281,3.0,-1.05,-3.69,4.870174534860121,59.83,0.467421875
try2,47,0.01,-42120.68173084,10.08800299,-3.34,-3.44,-1.34,4.978433488558424,75.39,0.588984375
try2,48,0.01,-42120.57073576,8.29146966,1.58,-2.8,1.85,3.7092991251717624,66.49,0.519453125
try2,49,0.01,-42118.95806164,9.03028789,-1.54,1.61,-0.43,2.269052665761639,69.78,0.54515625
try2,50,0.01,-42118.93503314,6.49472219,-1.92,0.18,-3.57,4.057548520966816,59.17,0.462265625
try2,51,0.01,-42117.41552554,7.44805151,-3.37,1.73,1.69,4.147999517839895,66.79,0.521796875
try2,52,0.01,-42113.5481369,3.89656952,-2.08,1.66,-2.94,3.965551664018513,57.11,0.446171875
try2,53,0.01,-42117.39181327,4.34409133,2.37,-0.49,0.65,2.5058930543820104,57.71,0.450859375
try2,54,0.01,-42117.02822276,3.08468069,-0.02,-1.39,5.05,5.237843067523119,50.38,0.39359375
try2,55,0.01,-42115.20621623,3.44081448,2.84,-0.36,4.98,5.744179662928381,52.82,0.41265625
try2,56,0.01,-42115.77222705,2.8753276,1.34,-1.61,0.64,2.190273955467672,50.93,0.397890625
try2,57,0.01,-42116.88265202,2.48138086,0.66,-0.48,2.17,2.3183830572189748,47.49,0.371015625
try2,58,0.01,-42115.92241158,2.30188805,0.96,-0.4,3.23,3.3933022264455017,47.72,0.3728125
try2,59,0.01,-42116.11049258,2.35707244,0.74,-0.17,-2.99,3.084898701740464,47.2,0.36875
