phase,magnetic_state,source,path,natoms,total_frames,valid_frames,volume_per_atom_A3,target_temperature_K,mean_temperature_K,min_temperature_K,max_temperature_K,mean_pressure_GPa,min_pressure_GPa,max_pressure_GPa,mean_energy_eV_atom,min_energy_eV_atom,max_energy_eV_atom,mean_force_rms_eV_A,mean_displacement_rms_A,mean_abs_magnetization_Bohr_atom
BCC,non-magnetic,2.35_4500K,dataset/bcc/non-mag/2.35_4500K.npz,128,400,399,6.488909476433735,4500.0,4282.901083886474,2275.73876953125,5125.837890625,391.6236576089883,369.16400146484375,396.6990051269531,-4476.080436077509,-4476.264245475624,-4475.907994695476,4.135826747365889,0.376666410248889,0.0
BCC,non-magnetic,2.35_5000K,dataset/bcc/non-mag/2.35_5000K.npz,128,400,399,6.488909476433735,5000.0,4471.462237135808,2362.758056640625,5713.74267578125,393.0939955173578,370.281005859375,400.0830078125,-4476.050060951298,-4476.264051230972,-4475.8931142457595,4.274431182510283,0.375253030675153,0.0
BCC,non-magnetic,2.35_5500K,dataset/bcc/non-mag/2.35_5500K.npz,128,400,399,6.488909476433735,5500.0,5303.41548390018,3112.70751953125,6672.09619140625,399.72922127706966,370.45001220703125,405.92901611328125,-4475.909013544448,-4476.264317172311,-4475.803745868801,4.690498048909586,0.3612813766392882,0.0
BCC,non-magnetic,2.35_6000K,dataset/bcc/non-mag/2.35_6000K.npz,128,400,399,6.488909476433735,6000.0,5490.445347377232,3115.40576171875,6673.91552734375,401.1250292938156,370.0820007324219,409.02301025390625,-4475.870270885875,-4476.264059547451,-4475.720427634206,4.765947075183354,0.3535646981283195,0.0
BCC,non-magnetic,2.36_4000K,dataset/bcc/non-mag/2.36_4000K.npz,128,400,399,6.5721118453159235,4000.0,3762.696768165531,2289.433349609375,4629.7666015625,368.7998479016144,350.3739929199219,374.88800048828125,-4476.319975444383,-4476.456406388592,-4476.191904860503,3.6769271448044396,0.3650525482249123,0.0
BCC,non-magnetic,2.36_4500K,dataset/bcc/non-mag/2.36_4500K.npz,128,400,399,6.5721118453159235,4500.0,4341.524840849683,1776.645263671875,5326.12109375,372.19520312622376,348.77301025390625,379.40301513671875,-4476.252600232777,-4476.4552960673145,-4476.098381733265,4.227547564478895,0.3275363287818348,0.0
BCC,non-magnetic,2.36_5000K,dataset/bcc/non-mag/2.36_5000K.npz,128,400,399,6.5721118453159235,5000.0,4699.845304790296,2496.19775390625,5812.85888671875,375.97796064869203,350.4729919433594,382.875,-4476.16979184733,-4476.455740945838,-4476.0427871454085,4.299355999157428,0.35002632644618326,0.0
BCC,non-magnetic,2.36_5500K,dataset/bcc/non-mag/2.36_5500K.npz,128,400,399,6.5721118453159235,5500.0,5128.08354932742,2886.772216796875,6668.02099609375,380.1821188102091,350.5110168457031,387.2900085449219,-4476.082158125527,-4476.455642612819,-4475.966467715439,4.544361294836139,0.35587562480180324,0.0
BCC,non-magnetic,2.36_6000K,dataset/bcc/non-mag/2.36_6000K.npz,128,400,399,6.5721118453159235,6000.0,5728.161492598684,2830.880615234375,6933.837890625,382.248031883909,348.27801513671875,390.76800537109375,-4476.050708295986,-4476.4549293960135,-4475.909412249245,4.813947008676045,0.39885783595768065,0.0
BCC,non-magnetic,2.37_4000K,dataset/bcc/non-mag/2.37_4000K.npz,128,400,399,6.656022418851627,4000.0,3858.8511029771694,2267.306640625,4990.1650390625,350.7325170225368,331.60400390625,355.54400634765625,-4476.47834705428,-4476.63769117843,-4476.391822722386,3.8079144339625195,0.3308055818075564,0.0
BCC,non-magnetic,2.37_4500K,dataset/bcc/non-mag/2.37_4500K.npz,128,400,399,6.656022418851627,4500.0,4174.547452004033,2195.00341796875,5475.7099609375,353.38679102847453,331.4880065917969,360.81298828125,-4476.423866871273,-4476.636993979139,-4476.262296417583,4.017303949121626,0.3450226687691752,0.0
BCC,non-magnetic,2.37_5000K,dataset/bcc/non-mag/2.37_5000K.npz,128,400,399,6.656022418851627,5000.0,4587.563995437813,2910.929443359375,5676.86474609375,356.2263563724986,331.40802001953125,364.3949890136719,-4476.366894267044,-4476.636850946103,-4476.182814606819,4.297439359174344,0.3460743585108314,0.0
BCC,non-magnetic,2.37_5500K,dataset/bcc/non-mag/2.37_5500K.npz,128,400,399,6.656022418851627,5500.0,5088.233827366267,3100.427978515625,6431.29541015625,359.5614244657053,331.66900634765625,365.3429870605469,-4476.298734829064,-4476.63656127771,-4476.188156053082,4.429892915903483,0.37054519925870555,0.0
BCC,non-magnetic,2.37_6000K,dataset/bcc/non-mag/2.37_6000K.npz,128,400,399,6.656022418851627,6000.0,5465.4072724535945,3084.58447265625,6819.56396484375,362.4364367798158,331.1080017089844,370.2270202636719,-4476.2312635515245,-4476.636591234682,-4476.077021807165,4.723662304627879,0.3384528181201473,0.0
BCC,non-magnetic,2.38_4000K,dataset/bcc/non-mag/2.38_4000K.npz,128,400,399,6.740644198345366,4000.0,3859.043807639215,2095.552734375,4557.26806640625,333.1885594724115,312.5760192871094,338.3600158691406,-4476.632167200824,-4476.813579727202,-4476.539340969217,3.7154698272874542,0.33652332962645043,0.0
BCC,non-magnetic,2.38_4500K,dataset/bcc/non-mag/2.38_4500K.npz,128,400,399,6.740644198345366,4500.0,4347.6666146567595,2628.39453125,5072.22412109375,336.12232714966126,312.9259948730469,342.7080078125,-4476.579354968281,-4476.8138800335455,-4476.44421763497,3.9182187998987854,0.3497960458460358,0.0
BCC,non-magnetic,2.38_5000K,dataset/bcc/non-mag/2.38_5000K.npz,128,400,399,6.740644198345366,5000.0,4862.131336030506,3044.830810546875,5994.4072265625,340.10520120491657,311.375,346.24700927734375,-4476.49084856106,-4476.81271835503,-4476.385138789638,4.246378802274864,0.35820834774603366,0.0
BCC,non-magnetic,2.38_5500K,dataset/bcc/non-mag/2.38_5500K.npz,128,400,399,6.740644198345366,5500.0,5333.80624412594,2896.417236328125,6493.91552734375,344.4768555146411,313.4120178222656,350.7900085449219,-4476.4026813120945,-4476.812313450669,-4476.2991358021045,4.510976499150315,0.37094244169734003,0.0
BCC,non-magnetic,2.38_6000K,dataset/bcc/non-mag/2.38_6000K.npz,128,400,399,6.740644198345366,6000.0,5580.153327043194,3697.313232421875,6705.951171875,345.6283167788857,313.3919982910156,353.98101806640625,-4476.376517730488,-4476.8124030994295,-4476.2080316777965,4.567515645719614,0.37471591049014874,0.0
BCC,non-magnetic,2.39_4000K,dataset/bcc/non-mag/2.39_4000K.npz,128,400,399,6.825980185101718,4000.0,3742.6964249001408,2486.292236328125,4571.19775390625,315.1462123172923,295.0820007324219,322.4729919433594,-4476.80921029622,-4476.979163546245,-4476.699906092419,3.573839568244692,0.33588645266523853,0.0
BCC,non-magnetic,2.39_4500K,dataset/bcc/non-mag/2.39_4500K.npz,128,400,399,6.825980185101718,4500.0,4270.3929146596965,2579.78271484375,5085.50244140625,317.57648982380266,295.3830261230469,325.2060241699219,-4476.772081502712,-4476.978925466813,-4476.631389401962,3.8948065915650885,0.3690189422426195,0.0
BCC,non-magnetic,2.39_5000K,dataset/bcc/non-mag/2.39_5000K.npz,128,400,399,6.825980185101718,5000.0,4654.155000538455,2670.148193359375,5583.60205078125,320.4142134817023,295.1610107421875,328.9850158691406,-4476.710283812384,-4476.978788740227,-4476.520862974436,4.082415481675597,0.3842171390318248,0.0
BCC,non-magnetic,2.39_5500K,dataset/bcc/non-mag/2.39_5500K.npz,128,400,399,6.825980185101718,5500.0,5197.1511157043,2919.23193359375,7060.81884765625,325.4706799499971,294.1659851074219,331.4090270996094,-4476.595013861215,-4476.978178789569,-4476.4879903530955,4.379960524767418,0.35462320947874104,0.0
