phase,magnetic_state,category,source,path,natoms,total_frames,valid_frames,invalid_frames,valid_fraction,finite_energy_fraction,finite_temperature_fraction,finite_pressure_fraction,finite_force_fraction,finite_position_fraction,force_outlier_frames,force_outlier_fraction,force_outlier_threshold_eV_A,median_force_rms_eV_A,target_temperature_K,median_temperature_K,median_temperature_deviation_K,pressure_min_GPa,pressure_median_GPa,pressure_max_GPa,volume_per_atom_A3
BCC,non-magnetic,BCC nonmagnetic,2.34_4500K,dataset/bcc/non-mag/2.34_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.959452231253254,4.355932266066711,4500.0,4390.99462890625,-109.00537109375,389.88702392578125,414.2879943847656,420.6930236816406,6.406412310900512
BCC,non-magnetic,BCC nonmagnetic,2.34_5000K,dataset/bcc/non-mag/2.34_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.381308562109103,4.5962051643727335,5000.0,4926.0234375,-73.9765625,391.41900634765625,416.6640319824219,424.14501953125,6.406412310900512
BCC,non-magnetic,BCC nonmagnetic,2.34_5500K,dataset/bcc/non-mag/2.34_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.2064489437272226,4.86084641162502,5500.0,5362.275390625,-137.724609375,391.2950134277344,420.85400390625,430.677001953125,6.406412310900512
BCC,non-magnetic,BCC nonmagnetic,2.34_6000K,dataset/bcc/non-mag/2.34_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.237446016463096,4.953171782173358,6000.0,5597.32861328125,-402.67138671875,390.2840270996094,422.8789978027344,429.00201416015625,6.406412310900512
BCC,non-magnetic,BCC nonmagnetic,2.35_4000K,dataset/bcc/non-mag/2.35_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.20683446855802,4.001865012425986,4000.0,3774.527587890625,-225.472412109375,368.9639892578125,387.60601806640625,397.8739929199219,6.488909476433735
BCC,non-magnetic,BCC nonmagnetic,2.35_4500K,dataset/bcc/non-mag/2.35_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.496393537823127,4.195236213133194,4500.0,4344.9677734375,-155.0322265625,369.16400146484375,391.864990234375,396.6990051269531,6.488909476433735
BCC,non-magnetic,BCC nonmagnetic,2.35_5000K,dataset/bcc/non-mag/2.35_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.346954409000849,4.389960534165548,5000.0,4487.15087890625,-512.84912109375,370.281005859375,393.3730163574219,400.0830078125,6.488909476433735
BCC,non-magnetic,BCC nonmagnetic,2.35_5500K,dataset/bcc/non-mag/2.35_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.350926775660368,4.749156235435519,5500.0,5406.62353515625,-93.37646484375,370.45001220703125,400.0090026855469,405.92901611328125,6.488909476433735
BCC,non-magnetic,BCC nonmagnetic,2.35_6000K,dataset/bcc/non-mag/2.35_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.069961041227785,4.814234498696368,6000.0,5569.6142578125,-430.3857421875,370.0820007324219,401.4840087890625,409.02301025390625,6.488909476433735
BCC,non-magnetic,BCC nonmagnetic,2.36_4000K,dataset/bcc/non-mag/2.36_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.562717479452562,3.7206146766081822,4000.0,3815.688232421875,-184.311767578125,350.3739929199219,368.79400634765625,374.88800048828125,6.5721118453159235
BCC,non-magnetic,BCC nonmagnetic,2.36_4500K,dataset/bcc/non-mag/2.36_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.515401706042939,4.250141643834701,4500.0,4416.19482421875,-83.80517578125,348.77301025390625,372.3240051269531,379.40301513671875,6.5721118453159235
BCC,non-magnetic,BCC nonmagnetic,2.36_5000K,dataset/bcc/non-mag/2.36_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.560407574762148,4.355016966416661,5000.0,4744.6494140625,-255.3505859375,350.4729919433594,376.0719909667969,382.875,6.5721118453159235
BCC,non-magnetic,BCC nonmagnetic,2.36_5500K,dataset/bcc/non-mag/2.36_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.018110130287601,4.637603137270106,5500.0,5152.470703125,-347.529296875,350.5110168457031,381.0509948730469,387.2900085449219,6.5721118453159235
BCC,non-magnetic,BCC nonmagnetic,2.36_6000K,dataset/bcc/non-mag/2.36_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.592524534690113,4.947633490627301,6000.0,5794.61572265625,-205.38427734375,348.27801513671875,382.6419982910156,390.76800537109375,6.5721118453159235
