frame_index,step,mean_bcc_score,mean_fcc_score,mean_hcp_score,smoothed_bcc_score,smoothed_fcc_score,smoothed_hcp_score,bcc_fraction,fcc_fraction,hcp_fraction,unknown_fraction,dominant_phase,transition_here
58,290,0.42243928,0.74981450,0.73762513,0.42442662,0.75068467,0.73834393,0.00000000,0.25000000,0.07031250,0.67968750,unknown,no
59,295,0.42258323,0.75418649,0.74019332,0.42241496,0.75338120,0.73950681,0.00000000,0.30468750,0.04687500,0.64843750,unknown,no
60,300,0.42033341,0.75736947,0.74152222,0.42065976,0.75512507,0.74054185,0.00000000,0.29687500,0.05468750,0.64843750,unknown,no
61,305,0.41968170,0.75773050,0.74186260,0.42051228,0.75592003,0.74106866,0.00000000,0.31250000,0.03906250,0.64843750,unknown,no
62,310,0.41826118,0.75652440,0.74150599,0.42023398,0.75475118,0.74058500,0.00000000,0.28906250,0.03906250,0.67187500,unknown,no
63,315,0.42170191,0.75378929,0.74025915,0.42089619,0.75218850,0.73931805,0.00000000,0.28906250,0.03906250,0.67187500,unknown,no
64,320,0.42119172,0.74834224,0.73777504,0.42121405,0.75061188,0.73838673,0.00000000,0.19531250,0.05468750,0.75000000,unknown,no
65,325,0.42364442,0.74455606,0.73518746,0.42135591,0.75133260,0.73840931,0.00000000,0.24218750,0.07031250,0.68750000,unknown,no
66,330,0.42127100,0.74984739,0.73720601,0.42069821,0.75234500,0.73871271,0.00000000,0.28906250,0.04687500,0.66406250,unknown,no
67,335,0.41897048,0.76012801,0.74161890,0.42061713,0.75279396,0.73868305,0.00000000,0.34375000,0.03906250,0.61718750,unknown,no
68,340,0.41841341,0.75885129,0.74177616,0.42005738,0.75274237,0.73842265,0.00000000,0.33593750,0.03125000,0.63281250,unknown,no
69,345,0.42078634,0.75058703,0.73762671,0.42047833,0.75095941,0.73762923,0.00000000,0.29687500,0.04687500,0.65625000,unknown,no
70,350,0.42084568,0.74429810,0.73388546,0.42206991,0.74753094,0.73651962,0.00000000,0.28125000,0.08593750,0.63281250,unknown,no
71,355,0.42337573,0.74093261,0.73323895,0.42348517,0.74533818,0.73578493,0.00000000,0.24218750,0.10937500,0.64843750,unknown,no
72,360,0.42692838,0.74298565,0.73607084,0.42470089,0.74531658,0.73561734,0.00000000,0.21875000,0.11718750,0.66406250,unknown,no
73,365,0.42548974,0.74788750,0.73810271,0.42500112,0.74821408,0.73657028,0.00000000,0.27343750,0.05468750,0.67187500,unknown,no
74,370,0.42686492,0.75047905,0.73678875,0.42411793,0.75428529,0.73884934,0.00000000,0.29687500,0.03906250,0.66406250,unknown,no
75,375,0.42234684,0.75878560,0.73865016,0.42131503,0.76033666,0.74115399,0.00000000,0.38281250,0.03906250,0.57812500,unknown,no
76,380,0.41895975,0.77128864,0.74463423,0.41890899,0.76413368,0.74277227,0.00000000,0.49218750,0.03125000,0.47656250,fcc,no
77,385,0.41291389,0.77324251,0.74759410,0.41709455,0.76667517,0.74467643,0.00000000,0.47656250,0.03125000,0.49218750,fcc,no
78,390,0.41345954,0.76687262,0.74619410,0.33262518,0.61491805,0.59694640,0.00000000,0.35156250,0.03906250,0.60937500,unknown,no
79,395,0.41779274,0.76318650,0.74630955,0.24883324,0.46066033,0.44801955,0.00000000,0.37500000,0.06250000,0.56250000,unknown,no
