# segment point distance q1 q2 q3 frequency_1_THz frequency_2_THz frequency_3_THz
0.0000000000 97.0000000000 0.4235807931 0.4850000000 -0.4850000000 0.4850000000 17.9838694811 17.9911413468 17.9911413468
0.0000000000 98.0000000000 0.4279476054 0.4900000000 -0.4900000000 0.4900000000 17.9951883769 17.9984590731 17.9984590731
0.0000000000 99.0000000000 0.4323144177 0.4950000000 -0.4950000000 0.4950000000 18.0020170145 18.0028405147 18.0028405147
0.0000000000 100.0000000000 0.4366812300 0.5000000000 -0.5000000000 0.5000000000 18.0042994592 18.0042994592 18.0042994592
1.0000000000 0.0000000000 0.4366812300 0.5000000000 -0.5000000000 0.5000000000 18.0042994592 18.0042994592 18.0042994592
1.0000000000 1.0000000000 0.4397690326 0.4950000000 -0.4950000000 0.5000000000 18.0025353710 18.0035700230 18.0041925664
1.0000000000 2.0000000000 0.4428568352 0.4900000000 -0.4900000000 0.5000000000 17.9972424720 18.0013798410 18.0038761351
1.0000000000 3.0000000000 0.4459446377 0.4850000000 -0.4850000000 0.5000000000 17.9884188622 17.9977233028 18.0033628867
1.0000000000 4.0000000000 0.4490324403 0.4800000000 -0.4800000000 0.5000000000 17.9760613848 17.9925910869 18.0026739576
1.0000000000 5.0000000000 0.4521202429 0.4750000000 -0.4750000000 0.5000000000 17.9601656413 17.9859702057 18.0018388002
1.0000000000 6.0000000000 0.4552080455 0.4700000000 -0.4700000000 0.5000000000 17.9407260130 17.9778440673 18.0008950441
1.0000000000 7.0000000000 0.4582958481 0.4650000000 -0.4650000000 0.5000000000 17.9177356868 17.9681925546 17.9998883184
1.0000000000 8.0000000000 0.4613836507 0.4600000000 -0.4600000000 0.5000000000 17.8911866891 17.9569921210 17.9988720340
1.0000000000 9.0000000000 0.4644714533 0.4550000000 -0.4550000000 0.5000000000 17.8610699231 17.9442159033 17.9979071272
1.0000000000 10.0000000000 0.4675592559 0.4500000000 -0.4500000000 0.5000000000 17.8273752130 17.9298338494 17.9970617647
1.0000000000 11.0000000000 0.4706470585 0.4450000000 -0.4450000000 0.5000000000 17.7900913534 17.9138128619 17.9964110089
1.0000000000 12.0000000000 0.4737348611 0.4400000000 -0.4400000000 0.5000000000 17.7492061633 17.8961169566 17.9960364465
1.0000000000 13.0000000000 0.4768226636 0.4350000000 -0.4350000000 0.5000000000 17.7047065461 17.8767074347 17.9960257789
1.0000000000 14.0000000000 0.4799104662 0.4300000000 -0.4300000000 0.5000000000 17.6565785531 17.8555430678 17.9964723756
1.0000000000 15.0000000000 0.4829982688 0.4250000000 -0.4250000000 0.5000000000 17.6048074530 17.8325802966 17.9974747928
1.0000000000 16.0000000000 0.4860860714 0.4200000000 -0.4200000000 0.5000000000 17.5493778050 17.8077734399 17.9991362561
1.0000000000 17.0000000000 0.4891738740 0.4150000000 -0.4150000000 0.5000000000 17.4902735359 17.7810749157 18.0015641115
1.0000000000 18.0000000000 0.4922616766 0.4100000000 -0.4100000000 0.5000000000 17.4274780213 17.7524354715 18.0048692432
1.0000000000 19.0000000000 0.4953494792 0.4050000000 -0.4050000000 0.5000000000 17.3609741711 17.7218044242 18.0091654633
1.0000000000 20.0000000000 0.4984372818 0.4000000000 -0.4000000000 0.5000000000 17.2907445167 17.6891299082 18.0145688730
1.0000000000 21.0000000000 0.5015250844 0.3950000000 -0.3950000000 0.5000000000 17.2167713029 17.6543591307 18.0211971996
1.0000000000 22.0000000000 0.5046128869 0.3900000000 -0.3900000000 0.5000000000 17.1390365816 17.6174386342 18.0291691114
1.0000000000 23.0000000000 0.5077006895 0.3850000000 -0.3850000000 0.5000000000 17.0575223084 17.5783145643 18.0386035140
1.0000000000 24.0000000000 0.5107884921 0.3800000000 -0.3800000000 0.5000000000 16.9722104411 17.5369329426 18.0496188308
1.0000000000 25.0000000000 0.5138762947 0.3750000000 -0.3750000000 0.5000000000 16.8830830402 17.4932399438 18.0623322734
1.0000000000 26.0000000000 0.5169640973 0.3700000000 -0.3700000000 0.5000000000 16.7901223710 17.4471821763 18.0768591037
1.0000000000 27.0000000000 0.5200518999 0.3650000000 -0.3650000000 0.5000000000 16.6933110069 17.3987069651 18.0933118937
1.0000000000 28.0000000000 0.5231397025 0.3600000000 -0.3600000000 0.5000000000 16.5926319338 17.3477626378 18.1117997877
1.0000000000 29.0000000000 0.5262275051 0.3550000000 -0.3550000000 0.5000000000 16.4880686549 17.2942988105 18.1324277711
1.0000000000 30.0000000000 0.5293153077 0.3500000000 -0.3500000000 0.5000000000 16.3796052962 17.2382666759 18.1552959509
1.0000000000 31.0000000000 0.5324031103 0.3450000000 -0.3450000000 0.5000000000 16.2672267123 17.1796192906 18.1804988540
1.0000000000 32.0000000000 0.5354909128 0.3400000000 -0.3400000000 0.5000000000 16.1509185907 17.1183118631 18.2081247476
1.0000000000 33.0000000000 0.5385787154 0.3350000000 -0.3350000000 0.5000000000 16.0306675578 17.0543020405 18.2382549871
1.0000000000 34.0000000000 0.5416665180 0.3300000000 -0.3300000000 0.5000000000 15.9064612820 16.9875501945 18.2709633968
1.0000000000 35.0000000000 0.5447543206 0.3250000000 -0.3250000000 0.5000000000 15.7782885774 16.9180197059 18.3063156883
1.0000000000 36.0000000000 0.5478421232 0.3200000000 -0.3200000000 0.5000000000 15.6461395051 16.8456772477 18.3443689210
1.0000000000 37.0000000000 0.5509299258 0.3150000000 -0.3150000000 0.5000000000 15.5100054740 16.7704930661 18.3851710097
1.0000000000 38.0000000000 0.5540177284 0.3100000000 -0.3100000000 0.5000000000 15.3698793392 16.6924412595 18.4287602819
1.0000000000 39.0000000000 0.5571055310 0.3050000000 -0.3050000000 0.5000000000 15.2257554987 16.6115000560 18.4751650909
1.0000000000 40.0000000000 0.5601933336 0.3000000000 -0.3000000000 0.5000000000 15.0776299877 16.5276520878 18.5244034841
1.0000000000 41.0000000000 0.5632811361 0.2950000000 -0.2950000000 0.5000000000 14.9255005713 16.4408846642 18.5764829324
1.0000000000 42.0000000000 0.5663689387 0.2900000000 -0.2900000000 0.5000000000 14.7693668337 16.3511900420 18.6314001207
1.0000000000 43.0000000000 0.5694567413 0.2850000000 -0.2850000000 0.5000000000 14.6092302654 16.2585656943 18.6891408009
1.0000000000 44.0000000000 0.5725445439 0.2800000000 -0.2800000000 0.5000000000 14.4450943475 16.1630145769 18.7496797080
1.0000000000 45.0000000000 0.5756323465 0.2750000000 -0.2750000000 0.5000000000 14.2769646325 16.0645453935 18.8129805403
1.0000000000 46.0000000000 0.5787201491 0.2700000000 -0.2700000000 0.5000000000 14.1048488230 15.9631728587 18.8789960010
