iteration,time_ps,temperature_K,pressure_GPa,mag_x_Bohr,mag_y_Bohr,mag_z_Bohr,mag_total_Bohr,abs_mag_total_Bohr,scf_iterations,energy_Ry,constraint_energy_Ry,scf_accuracy_Ry,force_correction_Ry_Bohr,total_force_Ry_Bohr,force_warning,fit_rmse_eV_A,fit_condition,fit_rank,imaginary_path_percent
11,0.009999667806108177,6640.58344213,408.82399999999996,0.01,-0.18,-0.1,0.20615528128088303,57.87,43,-10524.84612628,0.51590309,6.091e-05,0.050159,1.808542,False,2.642450252562132,5.738252527875243,2,20.155038759689923
12,0.010999634586718994,6797.06995593,406.86,-0.03,-0.21,-0.1,0.23452078799117146,57.94,262,-10524.98792503,0.51138544,7.618e-05,0.016641,1.730451,False,2.421346685618249,5.631586288051217,2,20.376522702104097
13,0.011999601367329811,6306.48965177,404.46999999999997,-0.07,-0.23,-0.11,0.2643860813280457,57.95,74,-10525.10755776,0.51162962,6.084e-05,0.017064,1.671535,False,2.2500653535937114,5.547489467235746,2,20.376522702104097
14,0.01299956814794063,6728.58799452,402.637,-0.1,-0.32,-0.12,0.3560898762952971,58.0,51,-10525.2162468,0.50793313,9.839e-05,0.045949,1.629766,False,2.11244403397865,5.4739728136684676,2,20.044296788482836
15,0.013999534928551447,6237.98074036,400.823,-0.15,-0.32,-0.12,0.37322915213043045,58.02,638,-10525.31854902,0.50729288,8.836e-05,0.019992,1.593252,False,2.0142625875224756,5.4093785365220075,2,19.379844961240313
16,0.014999501709162266,5967.65706151,398.67600000000004,-0.19,-0.34,-0.12,0.40755367744629667,58.02,37,-10525.40836641,0.50796439,7.988e-05,0.040876,1.574328,False,1.9485555129693506,5.34531563132453,2,18.715393133997786
17,0.015999468489773083,5846.61592214,397.673,-0.22,-0.36,-0.13,0.4414748010928823,58.02,61,-10525.4860049,0.50855852,9.432e-05,0.044618,1.556404,False,1.9009235704419762,5.274186301903297,2,17.940199335548172
18,0.0169994352703839,6467.82752571,396.54200000000003,-0.26,-0.33,-0.13,0.43977266854592045,58.01,68,-10525.56280708,0.50959009,4.915e-05,0.02459,1.5483,False,1.8582944049806955,5.185563667027904,2,16.72203765227021
19,0.017999402050994717,6027.56695562,395.288,-0.28,-0.33,-0.13,0.45188494110780014,58.03,33,-10525.63147159,0.50828192,8.517e-05,0.056188,1.546622,False,1.8264222110600026,5.081819037148759,2,15.614617940199334
20,0.018999368831605537,5701.98900062,394.342,-0.29,-0.3,-0.13,0.43703546766824314,58.01,55,-10525.69487678,0.51014667,6.255e-05,0.028646,1.541172,False,1.794610336384493,4.960557356436936,2,14.06423034330011
21,0.019999335612216354,5185.7162713,393.637,-0.3,-0.24,-0.13,0.40558599581346494,58.01,504,-10525.75376404,0.50977596,9.434e-05,0.025266,1.538904,False,1.7660848646575118,4.824611351271773,2,12.513842746400886
22,0.02099930239282717,5507.5122416,392.96799999999996,-0.3,-0.2,-0.13,0.383275357934736,58.01,461,-10525.81234837,0.51062226,9.9e-05,0.024434,1.536045,False,1.7501114747810347,4.666306538609876,2,10.188261351052049
23,0.021999269173437988,5424.64991678,391.924,-0.29,-0.2,-0.14,0.3790778284204973,57.94,222,-10525.87600798,0.51605028,9.059e-05,0.052611,1.527216,False,1.7272326853108035,4.494456900460795,2,8.527131782945736
24,0.022999235954048805,5434.48904356,390.674,-0.27,-0.19,-0.14,0.3586084215408222,57.94,82,-10525.93302275,0.51602442,9.58e-05,0.034274,1.531933,False,1.7003605194401887,4.312626863822658,2,8.416389811738648
25,0.023999202734659622,5465.41523356,389.81100000000004,-0.24,-0.14,-0.16,0.32062439083762795,57.93,44,-10525.98824928,0.51742393,5.215e-05,0.023153,1.535897,False,1.722116453459083,4.1255890302452825,2,8.416389811738648
26,0.024999169515270443,5367.79460611,388.704,-0.21,-0.14,-0.17,0.3043024810940588,57.93,38,-10526.04331143,0.5182201,6.765e-05,0.024317,1.538114,False,1.7407541411252043,3.9408046467655327,2,8.416389811738648
