iteration,time_ps,temperature_K,pressure_GPa,mag_x_Bohr,mag_y_Bohr,mag_z_Bohr,mag_total_Bohr,abs_mag_total_Bohr,scf_iterations,energy_Ry,constraint_energy_Ry,scf_accuracy_Ry,force_correction_Ry_Bohr,total_force_Ry_Bohr,force_warning,fit_rmse_eV_A,fit_condition,fit_rank,imaginary_path_percent
123,0.12199594723451976,3696.56930819,380.36199999999997,-0.3,-0.23,-0.09,0.38858718455450897,56.07,32,-10526.82638033,0.55092916,8.495e-05,0.066662,1.515037,False,2.3230618645561907,3.9091906350727057,2,0.0
124,0.12299591401513058,3821.77985933,379.742,-0.3,-0.22,-0.09,0.38275318418009274,56.09,26,-10526.84773679,0.54962666,8.143e-05,0.076878,1.504794,False,2.2559878526994206,3.8462402199954653,2,0.0
125,0.12399588079574139,3982.71344631,379.279,-0.29,-0.23,-0.09,0.3809199390948182,56.12,30,-10526.87353635,0.5474609,9.688e-05,0.040442,1.494644,False,2.183763627278126,3.784587355529012,2,0.0
126,0.12499584757635221,4162.54327527,378.69,-0.28,-0.22,-0.09,0.3672873534441392,56.15,28,-10526.89479804,0.54507956,7.484e-05,0.081925,1.486961,False,2.1064264447370684,3.725402051799014,2,0.0
127,0.12599581435696303,4303.0062579,378.302,-0.27,-0.21,-0.09,0.3536947836765479,56.18,78,-10526.91277324,0.54242992,9.181e-05,0.061607,1.48352,False,2.043538167549351,3.670293864911203,2,0.0
128,0.12699578113757384,4135.73007484,377.77,-0.25,-0.21,-0.1,0.34146742157927745,56.18,62,-10526.92887618,0.54239768,9.8e-05,0.028105,1.48455,False,1.9797690301790578,3.623293249298046,2,0.0
129,0.12799574791818466,4193.3877718,377.567,-0.23,-0.2,-0.1,0.3207802986469088,56.22,36,-10526.94069715,0.53935566,9.359e-05,0.055383,1.487072,False,1.9281108079121243,3.5841318214200673,2,0.0
130,0.12899571469879548,4325.32056513,377.165,-0.21,-0.18,-0.1,0.29410882339705485,56.24,65,-10526.94993876,0.53776289,9.836e-05,0.030434,1.491813,False,1.893741137505984,3.5530372336852465,2,6.755260243632337
131,0.1299956814794063,4913.31966984,376.48,-0.18,-0.19,-0.1,0.280178514522438,56.24,31,-10526.95478069,0.53779279,9.623e-05,0.054603,1.50115,False,1.878692042510991,3.5274775596463783,2,6.866002214839424
132,0.1309956482600171,4536.99020025,376.563,-0.16,-0.17,-0.11,0.2580697580112788,56.28,56,-10526.95585193,0.53459985,9.379e-05,0.042451,1.509797,False,1.877672694281918,3.5112037929208544,2,6.976744186046512
133,0.13199561504062793,4367.57803817,376.90500000000003,-0.13,-0.16,-0.11,0.23366642891095846,56.32,34,-10526.95574381,0.53076095,8.767e-05,0.053889,1.515873,False,1.8808696650662096,3.504153727392238,2,7.087486157253599
134,0.13299558182123875,4436.1086001,376.00300000000004,-0.11,-0.14,-0.1,0.2042057785666214,56.33,77,-10526.9558217,0.53051146,9.635e-05,0.037645,1.514948,False,1.8791651016663438,3.5052720005907236,2,7.087486157253599
135,0.13399554860184956,3811.67401173,376.121,-0.08,-0.13,-0.09,0.1772004514666935,56.37,37,-10526.95205797,0.52789367,8.939e-05,0.071986,1.510039,False,1.8817690038898258,3.515242989756649,2,7.087486157253599
136,0.13499551538246038,3702.83671462,375.61,-0.05,-0.13,-0.08,0.1606237840420901,56.37,34,-10526.95432684,0.5284612,6.835e-05,0.062936,1.493596,False,1.8736492689133672,3.5334452650380967,2,7.087486157253599
137,0.1359954821630712,4272.26133702,375.46999999999997,-0.03,-0.09,-0.07,0.11789826122551596,56.4,24,-10526.95716476,0.52590956,7.051e-05,0.043839,1.472412,False,1.8562967414082978,3.557131290475758,2,7.198228128460686
138,0.136995448943682,4023.18467194,374.947,-0.0,-0.08,-0.06,0.1,56.42,49,-10526.96018706,0.52480241,8.996e-05,0.030489,1.449096,False,1.8439899269084392,3.5814475367717447,2,7.198228128460686
139,0.13799541572429283,4068.96760853,374.494,0.02,-0.04,-0.03,0.053851648071345036,56.44,116,-10526.96218091,0.52300646,9.728e-05,0.040076,1.424416,False,1.8202655159938952,3.6038429358321387,2,7.198228128460686
140,0.13899538250490365,4316.68091561,374.596,0.05,-0.02,-0.02,0.057445626465380296,56.47,34,-10526.95833534,0.52123664,7.629e-05,0.073942,1.403719,False,1.8131948450693822,3.6197597912073167,2,7.198228128460686
141,0.13999534928551446,4671.38878216,374.524,0.07,-0.0,0.01,0.07071067811865477,56.5,35,-10526.95132967,0.51837656,6.694e-05,0.035678,1.388464,False,1.8126513258393842,3.6230613447368585,2,7.198228128460686
142,0.14099531606612528,4684.26895607,374.762,0.1,0.03,0.03,0.10862780491200216,56.55,57,-10526.93950723,0.51441487,8.726e-05,0.038242,1.388585,False,1.8254371594897103,3.609450557625345,2,7.198228128460686
143,0.1419952828467361,4289.48208176,374.89099999999996,0.13,0.05,0.05,0.14798648586948743,56.53,83,-10526.9194133,0.51543846,9.72e-05,0.032281,1.396016,False,1.8429434077381226,3.580715669321413,2,7.198228128460686
144,0.14299524962734692,4080.24680464,375.04200000000003,0.15,0.06,0.07,0.17606816861659008,56.52,66,-10526.8931612,0.51631293,5.082e-05,0.020294,1.415676,False,1.8699658157145074,3.539430562536537,2,7.308970099667775
145,0.14399521640795773,3555.73089838,375.346,0.18,0.07,0.09,0.21307275752662516,56.54,137,-10526.8682907,0.51414092,9.4e-05,0.045946,1.435009,False,1.8963866527489068,3.4924257708194344,2,7.308970099667775
146,0.14499518318856855,3394.68926784,376.17600000000004,0.2,0.09,0.09,0.23706539182259395,56.54,29,-10526.84308531,0.51324991,7.872e-05,0.070952,1.462732,False,1.9321663858818154,3.4415155228441896,2,7.308970099667775
147,0.14599514996917937,3570.89546445,376.375,0.23,0.1,0.11,0.2738612787525831,56.54,29,-10526.8172372,0.51337868,5.908e-05,0.062972,1.484976,False,1.9560927910790948,3.3858842155604174,2,7.419712070874862
148,0.14699511674979018,3842.30510346,376.832,0.25,0.14,0.11,0.3069201850644561,56.56,26,-10526.79470222,0.51145208,7.435e-05,0.067351,1.511658,False,1.9835159569294372,3.325771219828873,2,7.419712070874862
149,0.147995083530401,3422.72930924,377.456,0.27,0.12,0.12,0.3189043743820395,56.56,45,-10526.7669299,0.51068577,8.149e-05,0.02078,1.535399,False,2.0075154625409257,3.2701938417757885,2,7.419712070874862
150,0.14899505031101182,3429.49342316,377.461,0.28,0.12,0.11,0.323882694814033,56.55,47,-10526.7471457,0.51155404,4.566e-05,0.038126,1.553981,False,2.0249070146985564,3.217998310104876,2,7.530454042081949
151,0.14999501709162266,3888.27275491,377.642,0.3,0.11,0.11,0.337934904974316,56.54,32,-10526.72251091,0.51196262,9.648e-05,0.038773,1.569955,False,2.0363330284294987,3.16625059348105,2,7.530454042081949
152,0.15099498387223348,4155.69457354,378.18600000000004,0.31,0.16,0.11,0.36578682316343764,56.57,50,-10526.70126588,0.51003122,9.983e-05,0.065484,1.584976,False,2.0490474276149038,3.117100363445069,2,7.530454042081949
153,0.1519949506528443,3803.40169259,378.312,0.32,0.15,0.11,0.37013511046643494,56.6,47,-10526.68792581,0.50761054,9.54e-05,0.035587,1.592817,False,2.0546717330549256,3.0761436582728914,2,7.641196013289036
154,0.1529949174334551,3758.33446939,378.488,0.33,0.18,0.1,0.38897300677553454,56.6,29,-10526.67498709,0.50729539,9.442e-05,0.072513,1.594021,False,2.049259051486629,3.0424315824015404,2,7.641196013289036
155,0.15399488421406593,3945.26677935,378.337,0.33,0.22,0.11,0.41158231254513356,56.61,55,-10526.66401956,0.50630058,8.714e-05,0.0418,1.592572,False,2.041221254576446,3.01485986423857,2,7.641196013289036
156,0.15499485099467675,3533.29634169,378.221,0.33,0.25,0.1,0.4259107887809371,56.64,132,-10526.66075208,0.5049189,9.141e-05,0.034573,1.584093,False,2.0270493279864557,2.9962599106740666,2,7.641196013289036
157,0.15599481777528756,3668.99335553,378.271,0.33,0.27,0.11,0.44034077712607994,56.69,52,-10526.665383,0.50060271,8.87e-05,0.07053,1.566986,False,2.002686950982598,2.9844163670848523,2,7.751937984496124
158,0.15699478455589838,3383.76259676,378.071,0.33,0.31,0.11,0.4659399102888698,56.72,139,-10526.67029298,0.49851404,9.934e-05,0.026353,1.546353,False,1.977144968932636,2.9799019674567533,2,7.751937984496124
159,0.1579947513365092,3201.62799398,377.723,0.33,0.36,0.12,0.5028916384272063,56.75,80,-10526.68206548,0.49700428,5.504e-05,0.041998,1.521557,False,1.9453866678930807,2.9819904778164052,2,7.751937984496124
160,0.15899471811712002,3409.78580098,377.223,0.32,0.4,0.13,0.5284884104689526,56.77,315,-10526.69557331,0.49653619,9.239e-05,0.030654,1.490947,False,1.9052549970533927,2.989319259694277,2,7.751937984496124
161,0.15999468489773083,3151.28044192,376.48400000000004,0.32,0.41,0.13,0.5360970061472083,56.79,52,-10526.71202715,0.49658116,8.21e-05,0.040891,1.458617,False,1.8610910964929637,3.0006560097084725,2,7.751937984496124
162,0.16099465167834165,3469.40029221,376.57399999999996,0.31,0.46,0.15,0.5746303159423457,56.83,50,-10526.73064476,0.49417438,7.607e-05,0.023511,1.425889,False,1.8156243840887016,3.0149282171670135,2,7.751937984496124
