# x_path held_b1_THz held_b2_THz held_b3_THz
2.9387722999 15.2220608962 15.5099649828 15.7926213660
2.9697547472 15.1063715581 15.4549956442 15.7959272938
3.0007371945 14.9799511711 15.3951853066 15.7995102507
3.0317196417 14.8428767236 15.3306422571 15.8033602313
3.0627020890 14.6952313170 15.2614845338 15.8074664918
3.0936845363 14.5371040043 15.1878400059 15.8118175822
3.1246669836 14.3685896074 15.1098464570 15.8164013796
3.1556494308 14.1897885123 15.0276516725 15.8212051234
3.1866318781 14.0008064380 14.9414135287 15.8262154527
3.2176143254 13.8017541759 14.8513000831 15.8314184452
3.2485967726 13.5927472952 14.7574896648 15.8367996572
3.2795792199 13.3739058092 14.6601709614 15.8423441651
3.3105616672 13.1453537954 14.5595431033 15.8480366086
3.3415441144 12.9072189619 14.4558157391 15.8538612343
3.3725265617 12.6596321498 14.3492091030 15.8598019406
3.4035090090 12.4027267588 14.2399540673 15.8658423232
3.4344914562 12.1366380802 14.1282921785 15.8719657218
3.4654739035 11.8615025182 14.0144756706 15.8781552661
3.4964563508 11.5774566725 13.8987674513 15.8843939237
3.5274387980 11.2846362519 13.7814410547 15.8906645472
3.5584212453 10.9831747738 13.6627805538 15.8969499217
3.5894036926 10.6732019979 13.5430804243 15.9032328120
3.6203861398 10.3548420182 13.4226453526 15.9094960103
3.6513685871 10.0282109190 13.3017899774 15.9157223829
3.6823510344 9.6934138638 13.1808385561 15.9218949171
3.7133334816 9.3505414373 13.0601245432 15.9279967667
3.7443159289 8.9996649969 12.9399900712 15.9340112975
3.7752983762 8.6408306832 12.8207853208 15.9399221324
3.8062808234 8.2740515964 12.7028677687 15.9457131944
3.8372632707 7.8992974138 12.5866013008 15.9513687494
3.8682457180 7.5164803728 12.4723551793 15.9568734482
3.8992281652 7.1254359792 12.3605028525 15.9622123666
3.9302106125 6.7258958743 12.2514205989 15.9673710444
3.9611930598 6.3174487099 12.1454859983 15.9723355233
3.9921755070 5.8994820891 12.0430762254 15.9770923833
4.0231579543 5.4710934367 11.9445661655 15.9816287771
4.0541404016 5.0309475016 11.8503263562 15.9859324637
4.0851228488 4.5770369012 11.7607207649 15.9899918394
4.1161052961 4.1062536621 11.6761044146 15.9937959679
4.1470877434 3.6135570527 11.5968208818 15.9973346078
4.1780701906 3.0901647687 11.5231996927 16.0005982393
4.2090526379 2.5189099525 11.4555536523 16.0035780878
4.2400350852 1.8584790142 11.3941761483 16.0062661464
4.2710175324 0.9402940597 11.3393384750 16.0086551960
4.3019999797 -1.1650849816 11.2912872309 16.0107388235
4.3329824270 -1.8068313559 11.2502418420 16.0125114381
4.3639648743 -2.1982422835 11.2163922699 16.0139682853
4.3949473215 -2.4608971971 11.1898969573 16.0151054585
4.4259297688 -2.6329684731 11.1708810654 16.0159199091
4.4569122161 -2.7311884934 11.1594350488 16.0164094542
4.4878946633 -2.7631818117 11.1556136082 16.0165727818
4.5188771106 -2.7622349383 11.1517908580 16.0110843023
4.5498595579 -2.7593949671 11.1403252274 15.9946226254
4.5808420051 -2.7546638444 11.1212245744 15.9671990332
4.6118244524 -2.7480448126 11.0945019896 15.9288323203
4.6428068997 -2.7395424083 11.0601757873 15.8795487813
4.6737893469 -2.7291624584 11.0182694930 15.8193821929
4.7047717942 -2.7169120769 10.9688118271 15.7483737901
4.7357542415 -2.7027996595 10.9118366856 15.6665722385
4.7667366887 -2.6868348783 10.8473831162 15.5740336009
4.7977191360 -2.6690286747 10.7754952922 15.4708212986
4.8287015833 -2.6493932521 10.6962224821 15.3570060681
4.8596840305 -2.6279420677 10.6096190153 15.2326659128
4.8906664778 -2.6046898232 10.5157442457 15.0978860492
4.9216489251 -2.5796524543 10.4146625102 14.9527588487
4.9526313723 -2.5528471205 10.3064430852 14.7973837741
4.9836138196 -2.5242921927 10.1911601390 14.6318673118
5.0145962669 -2.4940072412 10.0688926806 14.4563228986
5.0455787141 -2.4620130218 9.9397245062 14.2708708437
5.0765611614 -2.4283314615 9.8037441411 14.0756382468
5.1075436087 -2.3929856442 9.6610447795 13.8707589106
5.1385260559 -2.3559997941 9.5117242203 13.6563732491
5.1695085032 -2.3173992594 9.3558848005 13.4326281914
5.2004909505 -2.2772104950 9.1936333246 13.1996770814
5.2314733977 -2.2354610442 9.0250809917 12.9576795721
5.2624558450 -2.1921795202 8.8503433190 12.7068015165
5.2934382923 -2.1473955857 8.6695400632 12.4472148538
5.3244207395 -2.1011399337 8.4827951376 12.1790974917
5.3554031868 -2.0534442652 8.2902365279 11.9026331847
5.3863856341 -2.0043412687 8.0919962043 11.6180114074
5.4173680813 -1.9538645967 7.8882100306 11.3254272254
5.4483505286 -1.9020488436 7.6790176719 11.0250811613
5.4793329759 -1.8489295212 7.4645624979 10.7171790573
5.5103154231 -1.7945430348 7.2449914858 10.4019319341
5.5412978704 -1.7389266583 7.0204551183 10.0795558463
5.5722803177 -1.6821185083 6.7911072816 9.7502717345
5.6032627650 -1.6241575183 6.5571051592 9.4143052734
5.6342452122 -1.5650834119 6.3186091244 9.0718867178
5.6652276595 -1.5049366755 6.0757826306 8.7232507441
5.6962101068 -1.4437585307 5.8287920988 8.3686362902
5.7271925540 -1.3815909059 5.5778068041 8.0082863909
5.7581750013 -1.3184764077 5.3229987592 7.6424480122
5.7891574486 -1.2544582916 5.0645425969 7.2713718813
5.8201398958 -1.1895804324 4.8026154500 6.8953123154
5.8511223431 -1.1238872943 4.5373968304 6.5145270468
5.8821047904 -1.0574239000 4.2690685057 6.1292770469
5.9130872376 -0.9902358001 3.9978143747 5.7398263466
5.9440696849 -0.9223690421 3.7238203414 5.3464418560
5.9750521322 -0.8538701384 3.4472741876 4.9493931812
6.0060345794 -0.7847860347 3.1683654443 4.5489524396
6.0370170267 -0.7151640780 2.8872852616 4.1453940732
6.0679994740 -0.6450519834 2.6042262778 3.7389946608
6.0989819212 -0.5744978025 2.3193824874 3.3300327282
6.1299643685 -0.5035498895 2.0329491081 2.9187885575
6.1609468158 -0.4322568685 1.7451224470 2.5055439949
6.1919292630 -0.3606676003 1.4560997662 2.0905822576
6.2229117103 -0.2888311485 1.1660791473 1.6741877397
6.2538941576 -0.2167967463 0.8752593560 1.2566458171
6.2848766048 -0.1446137624 0.5838397057 0.8382426523
6.3158590521 -0.0723316675 0.2920199208 0.4192649978
6.3468414994 0.0000000582 0.0000001595 0.0000001698
6.3847870928 0.1934296939 0.1934296939 0.5557378116
6.4227326862 0.3868679215 0.3868679215 1.1106417904
6.4606782796 0.5803230407 0.5803230407 1.6638794365
6.4986238729 0.7738030588 0.7738030588 2.2146209142
6.5365694663 0.9673154591 0.9673154591 2.7620403792
6.5745150597 1.1608670313 1.1608670313 3.3053173011
6.6124606531 1.3544637045 1.3544637045 3.8436377781
6.6504062465 1.5481103853 1.5481103853 4.3761958430
6.6883518399 1.7418108010 1.7418108010 4.9021947589
6.7262974333 1.9355673496 1.9355673496 5.4208483017
6.7642430267 2.1293809557 2.1293809557 5.9313820299
6.8021886201 2.3232509351 2.3232509351 6.4330345371
6.8401342135 2.5171748668 2.5171748668 6.9250586890
6.8780798069 2.7111484744 2.7111484744 7.4067228407
6.9160254003 2.9051655169 2.9051655169 7.8773120337
6.9539709937 3.0992176893 3.0992176893 8.3361291726
6.9919165871 3.2932945333 3.2932945333 8.7824961779
7.0298621805 3.4873833587 3.4873833587 9.2157551149
7.0678077739 3.6814691766 3.6814691766 9.6352692983
7.1057533673 3.8755346421 3.8755346421 10.0404243698
7.1436989606 4.0695600099 4.0695600099 10.4306293495
7.1816445540 4.2635231003 4.2635231003 10.8053176591
7.2195901474 4.4573992773 4.4573992773 11.1639481171
7.2575357408 4.6511614373 4.6511614373 11.5060059051
7.2954813342 4.8447800096 4.8447800096 11.8310035058
7.3334269276 5.0382229684 5.0382229684 12.1384816107
7.3713725210 5.2314558550 5.2314558550 12.4280100008
7.4093181144 5.4244418108 5.4244418108 12.6991883975
7.4472637078 5.6171416217 5.6171416217 12.9516472869
7.4852093012 5.8095137710 5.8095137710 13.1850487171
7.5231548946 6.0015145033 6.0015145033 13.3990870707
7.5611004880 6.1930978971 6.1930978971 13.5934898144
7.5990460814 6.3842159465 6.3842159465 13.7680182275
7.6369916748 6.5748186509 6.5748186509 13.9224681124
7.6749372682 6.7648541130 6.7648541130 14.0566704921
7.7128828616 6.9542686439 6.9542686439 14.1704922958
7.7508284549 7.1430068753 7.1430068753 14.2638370420
7.7887740483 7.3310118778 7.3310118778 14.3366455214
7.8267196417 7.5182252847 7.5182252847 14.3888964895
7.8646652351 7.7045874218 7.7045874218 14.4206073772
7.9026108285 7.8900374407 7.8900374407 14.4318350291
7.9405564219 8.0745134567 8.0745134567 14.4226764825
7.9785020153 8.2579526903 8.2579526903 14.3932698014
8.0164476087 8.4402916113 8.4402916113 14.3437949840
8.0543932021 8.6214660849 8.6214660849 14.2744749625
8.0923387955 8.8014115200 8.8014115200 14.1855767212
8.1302843889 8.9800630184 8.9800630184 14.0774125619
8.1682299823 9.1573555246 9.1573555246 13.9503415505
8.2061755757 9.3332239753 9.3332239753 13.8047711874
8.2441211691 9.5076034492 9.5076034492 13.6411593496
8.2820667625 9.6804293152 9.6804293152 13.4600165656
8.3200123559 9.8516373785 9.8516373785 13.2619086907
8.3579579493 10.0211640261 10.0211640261 13.0474600685
8.3959035426 10.1889463682 10.1889463682 12.8173572786
8.4338491360 10.3549223777 10.3549223777 12.5723535880
8.4717947294 10.5190310256 10.5190310256 12.3132742481
8.5097403228 10.6812124129 10.6812124129 12.0410228022
8.5476859162 10.8414078975 10.8414078975 11.7565885970
8.5856315096 10.9995602175 10.9995602175 11.4610557192
8.6235771030 11.1556136082 11.1556136082 11.1556136082
8.6615226964 10.8415696166 11.3095139140 11.3095139140
8.6994682898 10.5203638012 11.4612086949 11.4612086949
8.7374138832 10.1935862103 11.6106473265 11.6106473265
8.7753594766 9.8629968692 11.7577810930 11.7577810930
8.8133050700 9.5305485261 11.9025632744 11.9025632744
8.8512506634 9.1984119468 12.0449492259 12.0449492259
8.8891962568 8.8690030845 12.1848964506 12.1848964506
8.9271418502 8.5450106981 12.3223646640 12.3223646640
8.9650874436 8.2294218510 12.4573158515 12.4573158515
9.0030330370 7.9255410886 12.5897143177 12.5897143177
9.0409786303 7.6369969500 12.7195267277 12.7195267277
9.0789242237 7.3677269611 12.8467221402 12.8467221402
9.1168698171 7.1219299008 12.9712720322 12.9712720322
9.1548154105 6.9039729892 13.0931503163 13.0931503163
9.1927610039 6.7182434084 13.2123333479 13.2123333479
9.2307065973 6.5689402042 13.3287999259 13.3287999259
9.2686521907 6.4598153514 13.4425312837 13.4425312837
9.3065977841 6.3938902893 13.5535110723 13.5535110723
9.3445433775 6.3731913232 13.6617253352 13.6617253352
9.3824889709 6.3985555262 13.7671624749 13.7671624749
