atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
11,A11,0.4644794762,0.4794273674,0.9866354493,4.7376905686475075,4.890159056036421,10.063681394674088,0.35,134.8412591819,147.6847084562,-0.20973500337993597,0.13266732448971935,-0.24680074831725646
12,A12,0.7480973005,0.4621163905,0.9907229524,7.630592322411661,4.71358709495823,10.105373925514458,0.35,118.8473830564,47.6469120868,0.20653396561781803,0.2265558024722789,-0.16886737225503237
13,A13,0.0085049309,0.7682090998,0.0153626427,0.08675029355781201,7.835732671435637,0.15669895260980635,0.35,96.0374180617,249.5754612989,-0.12146323914290738,-0.32617715717817514,-0.036812276105626755
14,A14,0.2701038718,0.790525496,0.060192503,2.755059440841738,8.06335990841912,0.6139635191191829,0.35,26.0496912861,235.7641901559,-0.08647315165280879,-0.127070471444128,0.31444473175774046
15,A15,0.5040200353,0.7669411898,0.9656625502,5.141004263925738,7.822799989677472,9.849757827854354,0.35,111.5535310282,264.1740798774,-0.033042976351107756,-0.32384478146784784,-0.12857962214092092
16,A16,0.7079288363,0.7320550084,0.961427588,7.220873995233194,7.466960946051488,9.806561214222109,0.35,153.9503087139,55.7641901559,0.08647315165280879,0.12707047144412795,-0.3144447317577405
17,A17,0.9425071217,0.9627329335,0.2227597386,9.613572461570904,9.819875738073135,2.2721492912319214,0.35,7.3822892935,150.7369348362,-0.039232153823811025,0.02198281520348517,0.3470988244608072
18,A18,0.2570598423,0.0383864716,0.2295043766,2.622010342429691,0.39154200299835634,2.340944597545483,0.35,166.481329011,234.4337751892,-0.04758820065540777,-0.06655334728560594,-0.3403028285563641
19,A19,0.5317618847,0.0222093314,0.2855724394,5.423971122514397,0.2265351760439032,2.9128388274113406,0.35,79.192654816,8.233243891,0.34024876799572756,0.04923213036631298,0.06562753398524059
20,A20,0.749997139,0.9974407195,0.2661829889,7.649970674749295,10.173895148653145,2.7150664360095873,0.35,110.3508245316,345.0664493427,0.31707002093693487,-0.0845646517757733,-0.12171861604986263
