atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
14,A14,0.2995696962,0.3545744717,0.31248492,2.2917082044990633,2.712494742319704,2.390509667800749,0.15,28.8569845933,79.9154411279,0.012676246352933629,0.07127529338577818,0.13137406643310917
15,A15,0.6456023455,0.3770967722,0.3452702165,4.938858004644159,2.884790343292588,2.641317189152385,0.15,109.5775638925,262.8841482513,-0.017507188039154846,-0.14023975817356293,-0.050262397419763634
16,A16,0.9975851178,0.6637919545,0.3480232358,7.6315262463067,5.078008515228847,2.662377787059932,0.15,74.3249905142,254.5108679023,-0.0385685560270198,-0.13917622771302632,0.04052707891721874
17,A17,0.3206619024,0.6590978503,0.3234450221,2.4530635839405637,5.042098617651185,2.4743544499109813,0.15,90.9248567505,31.3798862018,0.1280433637784413,0.0780963184560278,-0.002421164165527748
18,A18,0.6538142562,0.6706814766,0.3331840336,5.0016791222823045,5.130713359950881,2.5488578888147617,0.15,79.6153114797,47.9386376156,0.09884287594038506,0.10953998549226585,0.027038444004562078
19,A19,0.9747915268,0.0027306608,0.6584088206,7.457155272982944,0.02088955538041493,5.036827540380474,0.15,93.6208105314,127.766194646,-0.09168273362596989,0.11834077717352452,-0.009472951643266546
20,A20,0.3332300782,0.9933513999,0.7031428218,2.5492101300091528,7.599138303967943,5.379042653826621,0.15,55.5294427568,132.8816403132,-0.08415066074878469,0.09061510794402783,0.0848973998885427
21,A21,0.7019287944,0.0364296734,0.6122987866,5.369755344100843,0.2786870049841887,4.684085775883099,0.15,57.9594239868,306.4015597679,0.07545652587271932,-0.10234090888648296,0.07957795593949514
22,A22,0.0237220153,0.2744660079,0.6696239114,0.18147341930729743,2.0996649866099997,5.122622986070024,0.15,42.3381594247,225.1515297476,-0.0712468132295246,-0.07162466531114753,0.11087740492861174
23,A23,0.3481194377,0.3060700595,0.7030951977,2.6631137316041062,2.3414359843639834,5.378678329457079,0.15,144.0944110604,239.069491689,-0.04521523113714227,-0.07545793582084218,-0.12149766580009866
24,A24,0.6692499518,0.3390545845,0.6372579336,5.11976219509436,2.5937676037596185,4.875023252813378,0.15,145.2470929057,169.2197242546,-0.0839967361202239,0.01599326794802469,-0.12324270242692731
25,A25,0.9956632257,0.6957987547,0.631880343,7.616823771558415,5.32286053981124,4.833884684210532,0.15,26.7838631509,259.2944006704,-0.012556425181389183,-0.06641742406515623,0.13390691530766205
