MD_step,postpropagation_temperature_K,mean_local_moment_muB,S_proxy_kB_per_Fe,S_proxy_eV_per_K_per_Fe,minus_4000K_S_proxy_eV_per_Fe
32,4069.07779109,1.6020442135862312,0.9562421708615678,8.240257465631131e-05,-0.3296102986252452
33,3958.43692506,1.601013346210996,0.955846893021959,8.236851224756081e-05,-0.32947404899024324
34,3923.16979548,1.6001926601798149,0.9555317173471523,8.23413525093015e-05,-0.329365410037206
35,4055.26962684,1.5995954483731027,0.9553032606259045,8.232166563227181e-05,-0.3292866625290872
36,4095.89892383,1.5991997461681937,0.9551519360573428,8.230862548989134e-05,-0.3292345019595654
37,4096.61041501,1.598458644538397,0.9548675208634994,8.228411648478968e-05,-0.3291364659391587
38,4190.50867386,1.5982071615880544,0.9547711624084787,8.227581295559429e-05,-0.32910325182237715
39,3809.46663984,1.5976503598536222,0.9545580682591814,8.225744992258722e-05,-0.32902979969034885
40,3805.36675624,1.5964656917174107,0.9540987257920651,8.221786685138125e-05,-0.328871467405525
41,3808.3897605,1.5953970839778815,0.9536876468258468,8.218244280689164e-05,-0.3287297712275665
42,3821.22588095,1.594796715776868,0.9534557007006201,8.216245523629222e-05,-0.32864982094516887
43,3773.64111072,1.5937864502290917,0.953061954729137,8.212852483372324e-05,-0.32851409933489295
44,3798.29663595,1.5928473319282093,0.9526972933177609,8.209710074462652e-05,-0.3283884029785061
45,3728.45299178,1.592504510874742,0.9525627636171679,8.208550787198985e-05,-0.3283420314879594
46,3558.69774186,1.5922522937089882,0.9524597788669815,8.207663333285711e-05,-0.32830653333142845
47,3667.62428772,1.5917792615508688,0.9522770534870745,8.2060887277916e-05,-0.328243549111664
48,3716.55374111,1.5912919619143162,0.9520895255970796,8.204472737467567e-05,-0.32817890949870265
49,3625.14887936,1.5912919994565455,0.9520953208152627,8.204522676793979e-05,-0.3281809070717591
50,3526.06977992,1.5903718509669988,0.9517350241569844,8.201417880416356e-05,-0.32805671521665425
51,3583.86429893,1.5901179533789989,0.9516354991363519,8.200560240145645e-05,-0.3280224096058258
52,3314.76123984,1.5890099340865274,0.9512057670385783,8.196857095445689e-05,-0.3278742838178275
53,3088.62639235,1.588257415145394,0.9509105178678567,8.194312834946209e-05,-0.32777251339784835
54,3103.96445867,1.5877419224627722,0.9507094767929127,8.192580397004036e-05,-0.32770321588016144
55,2808.02684855,1.5868370550789206,0.9503586446549115,8.18955715955181e-05,-0.3275822863820724
56,2541.25113239,1.586119253714887,0.950070155839381,8.187071155285982e-05,-0.32748284621143925
57,2485.30654599,1.5852902344201372,0.9497415982300255,8.18423986487035e-05,-0.327369594594814
58,2615.37676126,1.5860551673665944,0.9500347747759746,8.18676626487144e-05,-0.3274706505948576
59,2602.33298135,1.5873113780243184,0.9505218559686823,8.190963605834725e-05,-0.327638544233389
60,2592.51135263,1.5872487696550417,0.9504940659104545,8.190724129641601e-05,-0.32762896518566403
61,2743.21420725,1.5876172498109953,0.9506312694679758,8.191906458421515e-05,-0.32767625833686054
62,2775.37725088,1.5886611063214762,0.9510382266225259,8.195413343845687e-05,-0.32781653375382747
63,3068.50109981,1.5889051445982099,0.9511277059701067,8.196184417203869e-05,-0.3278473766881548
64,3063.01159462,1.5908765365639481,0.9519021645373171,8.202858184775245e-05,-0.3281143273910098
65,3067.41149314,1.5916425471558133,0.9521988610240671,8.205414917279278e-05,-0.3282165966911711
66,3259.88665051,1.5926095217806868,0.9525742959745067,8.208650165365472e-05,-0.3283460066146189
